"code","region","name","type_1_departments_major_a_e_4","type_2_departments_single_specialty_5","type_3_departments_other_a_e_minor_injury_unit_6","total_attendances","type_1_departments_major_a_e_8","type_2_departments_single_specialty_9","type_3_departments_other_a_e_minor_injury_unit_10","total_attendances_4_hours","type_1_departments_major_a_e_12","type_2_departments_single_specialty_13","type_3_departments_other_a_e_minor_injury_unit_14","total_attendances_4_hours_2","percentage_in_4_hours_or_less_all","percentage_in_4_hours_or_less_type_1","percentage_in_4_hours_or_less_type_2","percentage_in_4_hours_or_less_type_3","emergency_admissions_via_type_1_a_e","emergency_admissions_via_type_2_a_e","emergency_admissions_via_type_3_and_4_a_e","total_emergency_admissions_via_a_e","other_emergency_admissions_i_e_not_via_a_e","total_emergency_admissions","number_of_patients_spending_4_hours_from_decision_to_admit_to_admission","number_of_patients_spending_12_hours_from_decision_to_admit_to_admission","x28","month"
"RXF","NHS England North East And Yorkshire","Mid Yorkshire Hospitals NHS Trust",18282,0,4415,22697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3992,0,127,4119,1161,5280,1512,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-12-01
"RNN","NHS England North East And Yorkshire","North Cumbria Integrated Care NHS Foundation Trust",8089,0,1655,9744,5687,0,1652,7339,2402,0,3,2405,0.75318144499179,0.703053529484485,NA,0.998187311178248,2199,0,0,2199,899,3098,820,23,"Cumbria and North East STP",2019-12-01
"RVW","NHS England North East And Yorkshire","North Tees And Hartlepool NHS Foundation Trust",4250,0,11973,16223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641,0,609,2250,2049,4299,88,0,"Cumbria and North East STP",2019-12-01
"RJL","NHS England North East And Yorkshire","Northern Lincolnshire And Goole NHS Foundation Trust",13107,0,0,13107,8739,0,0,8739,4368,0,0,4368,0.66674296177615,0.66674296177615,NA,NA,3449,0,0,3449,482,3931,1120,0,"Humber, Coast and Vale STP",2019-12-01
"RTF","NHS England North East And Yorkshire","Northumbria Healthcare NHS Foundation Trust",9286,0,9266,18552,8086,0,9116,17202,1200,0,150,1350,0.927231565329884,0.870773206978247,NA,0.983811785020505,5284,0,40,5324,703,6027,0,0,"Cumbria and North East STP",2019-12-01
"Y02572","NHS England North East And Yorkshire","Park Community Practice",0,0,985,985,0,0,985,985,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-12-01
"RCU","NHS England North East And Yorkshire","Sheffield Children's NHS Foundation Trust",5165,0,232,5397,4959,0,232,5191,206,0,0,206,0.961830646655549,0.960116166505324,NA,1,823,0,0,823,332,1155,2,0,"South Yorkshire and Bassetlaw STP",2019-12-01
"RHQ","NHS England North East And Yorkshire","Sheffield Teaching Hospitals NHS Foundation Trust",9182,1012,9467,19661,5849,1012,9378,16239,3333,0,89,3422,0.825949849956767,0.637007187976476,1,0.990598922573149,3018,0,0,3018,2824,5842,786,0,"South Yorkshire and Bassetlaw STP",2019-12-01
"RTR","NHS England North East And Yorkshire","South Tees Hospitals NHS Foundation Trust",9664,0,4185,13849,7000,0,4160,11160,2664,0,25,2689,0.805834356271211,0.724337748344371,NA,0.994026284348865,2384,0,121,2505,2614,5119,949,8,"Cumbria and North East STP",2019-12-01
"R0B","NHS England North East And Yorkshire","South Tyneside And Sunderland NHS Foundation Trust",13575,1646,5546,20767,8611,1602,5239,15452,4964,44,307,5315,0.744065103288872,0.634327808471455,0.973268529769137,0.944644789037144,4410,31,0,4441,840,5281,1035,0,"Cumbria and North East STP",2019-12-01
"RXG","NHS England North East And Yorkshire","South West Yorkshire Partnership NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,124,124,0,0,"West Yorkshire and Harrogate (Health & Care Partnership) STP",2019-12-01
"RTD","NHS England North East And Yorkshire","The Newcastle Upon Tyne Hospitals NHS Foundation Trust",10620,1663,7970,20253,9497,1633,7966,19096,1123,30,4,1157,0.942872660840369,0.894256120527307,0.981960312687913,0.999498117942284,3634,18,5,3657,2841,6498,106,0,"Cumbria and North East STP",2019-12-01
"RFR","NHS England North East And Yorkshire","The Rotherham NHS Foundation Trust",8529,0,0,8529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1635,0,0,1635,199,1834,829,8,"South Yorkshire and Bassetlaw STP",2019-12-01
"NNF76","NHS England North East And Yorkshire","The Wilberforce Health Centre",0,0,3899,3899,0,0,3899,3899,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Humber, Coast and Vale STP",2019-12-01
"AJN","NHS England North East And Yorkshire","Workington Health Limited",0,0,345,345,0,0,345,345,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cumbria and North East STP",2019-12-01
"RCB","NHS England North East And Yorkshire","York Teaching Hospital NHS Foundation Trust",10524,367,7035,17926,6089,367,6999,13455,4435,0,36,4471,0.750585741381234,0.578582288103383,1,0.994882729211087,4424,12,0,4436,1660,6096,933,15,"Humber, Coast and Vale STP",2019-12-01
"RBS","NHS England North West","Alder Hey Children's NHS Foundation Trust",5578,0,0,5578,4803,0,0,4803,775,0,0,775,0.861061312298315,0.861061312298315,NA,NA,1072,230,0,1302,0,1302,0,0,"Cheshire and Merseyside STP",2019-12-01
"RXL","NHS England North West","Blackpool Teaching Hospitals NHS Foundation Trust",6138,0,12812,18950,2715,0,12798,15513,3423,0,14,3437,0.818627968337731,0.442326490713587,NA,0.998907274430222,2396,0,0,2396,992,3388,1591,65,"Healthier Lancashire and South Cumbria",2019-12-01
"RMC","NHS England North West","Bolton NHS Foundation Trust",9411,0,1117,10528,6314,0,1021,7335,3097,0,96,3193,0.696713525835866,0.670917012007226,NA,0.914055505819159,2327,0,34,2361,869,3230,614,31,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RY2","NHS England North West","Bridgewater Community Healthcare NHS Foundation Trust",0,0,3897,3897,0,0,3755,3755,0,0,142,142,0.963561714139081,NA,NA,0.963561714139081,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"RJR","NHS England North West","Countess Of Chester Hospital NHS Foundation Trust",5936,0,620,6556,4016,0,617,4633,1920,0,3,1923,0.706680902989628,0.676549865229111,NA,0.995161290322581,1685,0,0,1685,1194,2879,790,0,"Cheshire and Merseyside STP",2019-12-01
"RJN","NHS England North West","East Cheshire NHS Trust",4242,0,47,4289,2972,0,47,3019,1270,0,0,1270,0.703893681510842,0.700612918434701,NA,1,1001,0,0,1001,352,1353,173,10,"Cheshire and Merseyside STP",2019-12-01
"RXR","NHS England North West","East Lancashire Hospitals NHS Trust",10059,241,5785,16085,6450,241,5563,12254,3609,0,222,3831,0.761827789866335,0.641216820757531,1,0.961624891961971,3875,0,27,3902,1575,5477,846,14,"Healthier Lancashire and South Cumbria",2019-12-01
"RXN","NHS England North West","Lancashire Teaching Hospitals NHS Foundation Trust",4871,0,9289,14160,2115,0,8708,10823,2756,0,581,3337,0.76433615819209,0.434202422500513,NA,0.937452901281085,2372,0,521,2893,1338,4231,1046,68,"Healthier Lancashire and South Cumbria",2019-12-01
"RBQ","NHS England North West","Liverpool Heart And Chest Hospital NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,245,245,0,0,"Cheshire and Merseyside STP",2019-12-01
"REM","NHS England North West","Liverpool University Hospitals NHS Foundation Trust",16900,409,10099,27408,11065,409,9964,21438,5835,0,135,5970,0.782180385288967,0.654733727810651,1,0.986632339835627,6315,0,0,6315,2108,8423,1235,0,"Cheshire and Merseyside STP",2019-12-01
"REP","NHS England North West","Liverpool Women's NHS Foundation Trust",0,994,0,994,0,985,0,985,0,9,0,9,0.990945674044266,NA,0.990945674044266,NA,0,85,0,85,19,104,0,0,"Cheshire and Merseyside STP",2019-12-01
"R0A","NHS England North West","Manchester University NHS Foundation Trust",22701,3324,9297,35322,15036,3296,9257,27589,7665,28,40,7733,0.78107128701659,0.662349676225717,0.991576413959085,0.995697536839841,6858,144,164,7166,1565,8731,2072,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RW4","NHS England North West","Mersey Care NHS Foundation Trust",0,0,2693,2693,0,0,2692,2692,0,0,1,1,0.999628666914222,NA,NA,0.999628666914222,0,0,0,0,131,131,0,0,"Cheshire and Merseyside STP",2019-12-01
"RBT","NHS England North West","Mid Cheshire Hospitals NHS Foundation Trust",6105,0,2016,8121,3518,0,2003,5521,2587,0,13,2600,0.679842383942864,0.576248976248976,NA,0.993551587301587,2153,0,0,2153,1102,3255,268,0,"Cheshire and Merseyside STP",2019-12-01
"Y02532","NHS England North West","Miriam Minor Emergency",0,0,1670,1670,0,0,1670,1670,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"Y03645","NHS England North West","Moreton Health Minor Injury",0,0,399,399,0,0,399,399,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"RTV","NHS England North West","North West Boroughs Healthcare NHS Foundation Trust",0,0,10313,10313,0,0,9966,9966,0,0,347,347,0.966353146514108,NA,NA,0.966353146514108,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"Y02533","NHS England North West","Parkfield (H) Minor Emergency",0,0,336,336,0,0,336,336,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"RW6","NHS England North West","Pennine Acute Hospitals NHS Trust",24798,0,10369,35167,15953,0,10045,25998,8845,0,324,9169,0.73927261352973,0.643318009516897,NA,0.968753013791108,6128,0,127,6255,1677,7932,1669,12,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"AC008","NHS England North West","Rossendale Minor Injuries Unit",0,0,844,844,0,0,844,844,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Healthier Lancashire and South Cumbria",2019-12-01
"RM3","NHS England North West","Salford Royal NHS Foundation Trust",9480,0,3890,13370,7006,0,3882,10888,2474,0,8,2482,0.814360508601346,0.739029535864979,NA,0.997943444730077,2887,0,0,2887,316,3203,817,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"NQT5F","NHS England North West","Skelmersdale Walk In Centre",0,0,2019,2019,0,0,1923,1923,0,0,96,96,0.952451708766716,NA,NA,0.952451708766716,0,0,0,0,0,0,0,0,"Healthier Lancashire and South Cumbria",2019-12-01
"RVY","NHS England North West","Southport And Ormskirk Hospital NHS Trust",7704,0,3121,10825,5927,0,3072,8999,1777,0,49,1826,0.831316397228637,0.769340602284527,NA,0.984299903876963,2768,0,0,2768,80,2848,734,22,"Cheshire and Merseyside STP",2019-12-01
"RBN","NHS England North West","St Helens And Knowsley Teaching Hospitals NHS Trust",10171,0,4732,14903,6059,0,4507,10566,4112,0,225,4337,0.708984768167483,0.595713302526792,NA,0.952451394759087,4213,0,0,4213,308,4521,539,0,"Cheshire and Merseyside STP",2019-12-01
"RWJ","NHS England North West","Stockport NHS Foundation Trust",8168,0,0,8168,4825,0,0,4825,3343,0,0,3343,0.590719882468168,0.590719882468168,NA,NA,2515,0,0,2515,991,3506,1127,200,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RMP","NHS England North West","Tameside And Glossop Integrated Care NHS Foundation Trust",7876,0,2962,10838,4684,0,2962,7646,3192,0,0,3192,0.705480715999262,0.59471813103098,NA,1,1941,0,0,1941,334,2275,483,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RBV","NHS England North West","The Christie NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,518,518,0,0,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RET","NHS England North West","The Walton Centre NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,157,157,0,0,"Cheshire and Merseyside STP",2019-12-01
"RTX","NHS England North West","University Hospitals Of Morecambe Bay NHS Foundation Trust",7884,97,1911,9892,5371,97,1876,7344,2513,0,35,2548,0.742418115649009,0.681253170979198,1,0.981684981684982,2210,0,65,2275,1002,3277,412,36,"Healthier Lancashire and South Cumbria",2019-12-01
"RWW","NHS England North West","Warrington And Halton Teaching Hospitals NHS Foundation Trust",7080,0,2415,9495,4891,0,2323,7214,2189,0,92,2281,0.759768299104792,0.690819209039548,NA,0.961904761904762,2953,0,0,2953,364,3317,1074,0,"Cheshire and Merseyside STP",2019-12-01
"RY7","NHS England North West","Wirral Community Health And Care NHS Foundation Trust",0,0,4624,4624,0,0,4601,4601,0,0,23,23,0.995025951557093,NA,NA,0.995025951557093,0,0,0,0,0,0,0,0,"Cheshire and Merseyside STP",2019-12-01
"RBL","NHS England North West","Wirral University Teaching Hospital NHS Foundation Trust",7345,0,3585,10930,4309,0,3575,7884,3036,0,10,3046,0.72131747483989,0.586657590197413,NA,0.99721059972106,2040,0,0,2040,1983,4023,806,95,"Cheshire and Merseyside STP",2019-12-01
"RRF","NHS England North West","Wrightington, Wigan And Leigh NHS Foundation Trust",7436,0,4744,12180,4578,0,4710,9288,2858,0,34,2892,0.76256157635468,0.615653577192039,NA,0.99283305227656,2563,0,0,2563,220,2783,957,37,"Greater Manchester Health and Social Care Partnership (STP)",2019-12-01
"RTK","NHS England South East","Ashford And St Peter's Hospitals NHS Foundation Trust",9909,0,0,9909,7306,0,0,7306,2603,0,0,2603,0.73730951660107,0.73730951660107,NA,NA,1947,0,0,1947,307,2254,604,2,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"NTV0B","NHS England South East","Ashford Walk-In-Centre",0,0,3367,3367,0,0,3361,3361,0,0,6,6,0.998217998217998,NA,NA,0.998217998217998,0,0,0,0,0,0,0,0,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"NQT10","NHS England South East","Assura Reading Llp",0,0,3719,3719,0,0,3559,3559,0,0,160,160,0.956977682172627,NA,NA,0.956977682172627,0,0,0,0,0,0,0,0,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"RWX","NHS England South East","Berkshire Healthcare NHS Foundation Trust",0,0,2117,2117,0,0,2117,2117,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"Y04538","NHS England South East","Bracknell Urgent Care Centre Wic",0,0,3401,3401,0,0,3401,3401,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Frimley Health & Care Ics (STP)",2019-12-01
"RXH","NHS England South East","Brighton And Sussex University Hospitals NHS Trust",13407,1101,0,14508,9728,1089,0,10817,3679,12,0,3691,0.745588640749931,0.7255911091221,0.989100817438692,NA,3764,19,0,3783,394,4177,1131,1,"Sussex and East Surrey STP",2019-12-01
"Y02676","NHS England South East","Brighton Station Health Centre",0,0,1687,1687,0,0,1687,1687,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Sussex and East Surrey STP",2019-12-01
"RXQ","NHS England South East","Buckinghamshire Healthcare NHS Trust",7342,1167,5499,14008,4347,1167,5390,10904,2995,0,109,3104,0.77841233580811,0.592073004630891,1,0.980178214220767,3394,802,0,4196,696,4892,808,0,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"RN7","NHS England South East","Dartford And Gravesham NHS Trust",10098,0,1577,11675,6681,0,1574,8255,3417,0,3,3420,0.707066381156317,0.661616161616162,NA,0.998097653772987,2744,0,0,2744,291,3035,732,0,"Kent and Medway STP",2019-12-01
"Y00751","NHS England South East","East Berks Primary Care Ooh(Wam)",0,0,5507,5507,0,0,5500,5500,0,0,7,7,0.998728890502996,NA,NA,0.998728890502996,0,0,0,0,0,0,0,0,"Frimley Health & Care Ics (STP)",2019-12-01
"RVV","NHS England South East","East Kent Hospitals University NHS Foundation Trust",16492,0,3269,19761,11362,0,3244,14606,5130,0,25,5155,0.739132634988108,0.688940092165899,NA,0.992352401345977,5377,0,238,5615,1467,7082,1201,12,"Kent and Medway STP",2019-12-01
"RXC","NHS England South East","East Sussex Healthcare NHS Trust",9409,0,2038,11447,6886,0,2038,8924,2523,0,0,2523,0.779592906438368,0.73185248166649,NA,1,3707,0,0,3707,743,4450,371,0,"Sussex and East Surrey STP",2019-12-01
"Y02816","NHS England South East","Eastbourne Station Health Centre",0,0,1803,1803,0,0,1803,1803,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Sussex and East Surrey STP",2019-12-01
"NDJ","NHS England South East","First Community Health And Care Cic",0,0,1475,1475,0,0,1475,1475,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Sussex and East Surrey STP",2019-12-01
"RDU","NHS England South East","Frimley Health NHS Foundation Trust",20803,0,0,20803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7633,0,0,7633,2104,9737,566,4,"Frimley Health & Care Ics (STP)",2019-12-01
"RN5","NHS England South East","Hampshire Hospitals NHS Foundation Trust",10343,0,812,11155,7665,0,811,8476,2678,0,1,2679,0.75983863738234,0.741080924296626,NA,0.998768472906404,3313,0,0,3313,1259,4572,1242,1,"Hampshire and The Isle of Wight STP",2019-12-01
"NDA57","NHS England South East","Haslemere Minor Injuries Unit",0,0,466,466,0,0,463,463,0,0,3,3,0.993562231759657,NA,NA,0.993562231759657,0,0,0,0,0,0,0,0,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"Y03051","NHS England South East","Hastings Med P & Walkin",0,0,1830,1830,0,0,1830,1830,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Sussex and East Surrey STP",2019-12-01
"R1F","NHS England South East","Isle Of Wight NHS Trust",2439,0,2594,5033,1170,0,2594,3764,1269,0,0,1269,0.747864096960064,0.47970479704797,NA,1,801,0,0,801,170,971,649,65,"Hampshire and The Isle of Wight STP",2019-12-01
"RYY","NHS England South East","Kent Community Health NHS Foundation Trust",0,0,5909,5909,0,0,5891,5891,0,0,18,18,0.99695379928922,NA,NA,0.99695379928922,0,0,0,0,0,0,0,0,"Kent and Medway STP",2019-12-01
"RWF","NHS England South East","Maidstone And Tunbridge Wells NHS Trust",14560,0,2963,17523,11959,0,2944,14903,2601,0,19,2620,0.850482223363579,0.82135989010989,NA,0.993587580155248,4616,0,0,4616,605,5221,731,0,"Kent and Medway STP",2019-12-01
"RPA","NHS England South East","Medway NHS Foundation Trust",8351,0,3813,12164,5409,0,3071,8480,2942,0,742,3684,0.697139098980598,0.647706861453718,NA,0.805402570154734,2261,0,0,2261,1441,3702,1107,29,"Kent and Medway STP",2019-12-01
"RNU","NHS England South East","Oxford Health NHS Foundation Trust",0,0,2503,2503,0,0,2453,2453,0,0,50,50,0.980023971234519,NA,NA,0.980023971234519,0,0,0,0,0,0,0,0,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"RTH","NHS England South East","Oxford University Hospitals NHS Foundation Trust",12184,1455,523,14162,9275,1455,521,11251,2909,0,2,2911,0.794449936449654,0.761244254760341,1,0.996175908221797,3470,87,18,3575,3807,7382,699,0,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"AQN04","NHS England South East","Phl Lymington Utc",0,0,2405,2405,0,0,2386,2386,0,0,19,19,0.992099792099792,NA,NA,0.992099792099792,0,0,0,0,0,0,0,0,"Hampshire and The Isle of Wight STP",2019-12-01
"RHU","NHS England South East","Portsmouth Hospitals NHS Trust",10570,830,1621,13021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3753,0,0,3753,1698,5451,1019,0,"Hampshire and The Isle of Wight STP",2019-12-01
"RPC","NHS England South East","Queen Victoria Hospital NHS Foundation Trust",0,0,872,872,0,0,872,872,0,0,0,0,1,NA,NA,1,0,0,17,17,322,339,0,0,"Sussex and East Surrey STP",2019-12-01
"RHW","NHS England South East","Royal Berkshire NHS Foundation Trust",10659,1613,0,12272,7778,1564,0,9342,2881,49,0,2930,0.761245110821382,0.729711980485974,0.969621822690639,NA,3218,0,0,3218,519,3737,438,2,"Buckinghamshire, Oxfordshire and Berkshire West STP",2019-12-01
"RA2","NHS England South East","Royal Surrey County Hospital NHS Foundation Trust",6300,0,0,6300,5181,0,0,5181,1119,0,0,1119,0.822380952380952,0.822380952380952,NA,NA,2473,0,0,2473,730,3203,37,0,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"NTP11","NHS England South East","Southampton NHS Treatment Centre",0,0,4993,4993,0,0,4972,4972,0,0,21,21,0.995794111756459,NA,NA,0.995794111756459,0,0,0,0,0,0,0,0,"Hampshire and The Isle of Wight STP",2019-12-01
"RW1","NHS England South East","Southern Health NHS Foundation Trust",0,0,658,658,0,0,658,658,0,0,0,0,1,NA,NA,1,0,0,0,0,200,200,0,0,"Hampshire and The Isle of Wight STP",2019-12-01
"NTPAD","NHS England South East","St Mary's NHS Treatment Centre",0,0,5027,5027,0,0,4907,4907,0,0,120,120,0.976128903918838,NA,NA,0.976128903918838,0,0,0,0,0,0,0,0,"Hampshire and The Isle of Wight STP",2019-12-01
"RTP","NHS England South East","Surrey And Sussex Healthcare NHS Trust",9053,0,784,9837,7615,0,784,8399,1438,0,0,1438,0.853817220697367,0.841157627305865,NA,1,2748,0,0,2748,584,3332,584,0,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"RDR","NHS England South East","Sussex Community NHS Foundation Trust",0,0,8770,8770,0,0,8549,8549,0,0,221,221,0.974800456100342,NA,NA,0.974800456100342,0,0,0,0,3,3,3,1,"Sussex and East Surrey STP",2019-12-01
"RHM","NHS England South East","University Hospital Southampton NHS Foundation Trust",10277,1309,0,11586,7844,1233,0,9077,2433,76,0,2509,0.783445537717935,0.763257760046706,0.941940412528648,NA,3781,33,0,3814,1595,5409,402,4,"Hampshire and The Isle of Wight STP",2019-12-01
"RYR","NHS England South East","Western Sussex Hospitals NHS Foundation Trust",12911,0,0,12911,11039,0,0,11039,1872,0,0,1872,0.855007358066765,0.855007358066765,NA,NA,4151,0,0,4151,1422,5573,238,0,"Sussex and East Surrey STP",2019-12-01
"G82071","NHS England South East","Whitstable Medical Practice",0,0,3337,3337,0,0,3337,3337,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Kent and Medway STP",2019-12-01
"NTV0W","NHS England South East","Woking Walk In Centre",0,0,3461,3461,0,0,3450,3450,0,0,11,11,0.996821727824328,NA,NA,0.996821727824328,0,0,0,0,0,0,0,0,"Surrey Heartlands Health & Care Partnership (STP)",2019-12-01
"NLW","NHS England South West","Bristol Community Health",0,0,4779,4779,0,0,4758,4758,0,0,21,21,0.995605775266792,NA,NA,0.995605775266792,0,0,0,0,0,0,0,0,"Bristol, North Somerset and South Gloucestershire STP",2019-12-01
"NLT02","NHS England South West","Clevedon Hospital",0,0,1241,1241,0,0,1240,1240,0,0,1,1,0.999194198227236,NA,NA,0.999194198227236,0,0,0,0,0,0,0,0,"Bristol, North Somerset and South Gloucestershire STP",2019-12-01
"RJ8","NHS England South West","Cornwall Partnership NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,2,2,19,21,0,0,"Cornwall and The Isles of Scilly Health & Social Care Partnership (STP)",2019-12-01
"RBD","NHS England South West","Dorset County Hospital NHS Foundation Trust",4193,0,4413,8606,3447,0,4410,7857,746,0,3,749,0.912967696955612,0.822084426424994,NA,0.999320190346703,1529,0,0,1529,417,1946,15,0,"Dorset STP",2019-12-01
"RDY","NHS England South West","Dorset Healthcare University NHS Foundation Trust",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,4,4,14,18,0,0,"Dorset STP",2019-12-01
"DD401","NHS England South West","Exmouth Minor Injury Unit",0,0,1095,1095,0,0,1095,1095,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Devon STP",2019-12-01
"RTQ","NHS England South West","Gloucestershire Health And Care NHS Foundation Trust",0,0,5819,5819,0,0,5789,5789,0,0,30,30,0.994844474995704,NA,NA,0.994844474995704,0,0,1,1,12,13,0,0,"Gloucestershire STP",2019-12-01
"RTE","NHS England South West","Gloucestershire Hospitals NHS Foundation Trust",13287,0,0,13287,9687,0,0,9687,3600,0,0,3600,0.729058478211786,0.729058478211786,NA,NA,3933,0,0,3933,1012,4945,1103,1,"Gloucestershire STP",2019-12-01
"RN3","NHS England South West","Great Western Hospitals NHS Foundation Trust",5893,0,5880,11773,3160,0,5437,8597,2733,0,443,3176,0.730230187717659,0.536229424741218,NA,0.924659863945578,2312,0,0,2312,1438,3750,944,73,"Bath and North East Somerset, Swindon and Wiltshire STP",2019-12-01
"RVJ","NHS England South West","North Bristol NHS Trust",8286,0,0,8286,6185,0,0,6185,2101,0,0,2101,0.746439777938692,0.746439777938692,NA,NA,3347,0,0,3347,1746,5093,992,2,"Bristol, North Somerset and South Gloucestershire STP",2019-12-01
"RBZ","NHS England South West","Northern Devon Healthcare NHS Trust",3751,0,848,4599,3055,0,848,3903,696,0,0,696,0.848662752772342,0.81444948013863,NA,1,1200,0,0,1200,489,1689,187,0,"Devon STP",2019-12-01
"L83087","NHS England South West","Okehampton Medical Centre",0,0,124,124,0,0,124,124,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Devon STP",2019-12-01
"NQT5H","NHS England South West","Paulton Memorial Hospital",0,0,721,721,0,0,710,710,0,0,11,11,0.984743411927878,NA,NA,0.984743411927878,0,0,0,0,0,0,0,0,"Bath and North East Somerset, Swindon and Wiltshire STP",2019-12-01
"RD3","NHS England South West","Poole Hospital NHS Foundation Trust",5895,0,1822,7717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1858,0,0,1858,1551,3409,389,10,"Dorset STP",2019-12-01
"REF","NHS England South West","Royal Cornwall Hospitals NHS Trust",6463,0,9495,15958,4545,0,9425,13970,1918,0,70,1988,0.875422985336508,0.703233792356491,NA,0.992627698788836,2454,0,48,2502,1566,4068,801,23,"Cornwall and The Isles of Scilly Health & Social Care Partnership (STP)",2019-12-01
"RH8","NHS England South West","Royal Devon And Exeter NHS Foundation Trust",7658,0,3708,11366,5508,0,3686,9194,2150,0,22,2172,0.808903748020412,0.719247845390441,NA,0.994066882416397,2189,0,0,2189,1566,3755,266,12,"Devon STP",2019-12-01
"RD1","NHS England South West","Royal United Hospitals Bath NHS Foundation Trust",6603,0,1170,7773,3996,0,1153,5149,2607,0,17,2624,0.662421201595266,0.605179463880055,NA,0.985470085470086,2731,0,13,2744,1406,4150,994,0,"Bath and North East Somerset, Swindon and Wiltshire STP",2019-12-01
"RNZ","NHS England South West","Salisbury NHS Foundation Trust",4340,259,1565,6164,3532,259,1565,5356,808,0,0,808,0.868916288124594,0.813824884792627,1,1,1252,0,0,1252,996,2248,174,0,"Bath and North East Somerset, Swindon and Wiltshire STP",2019-12-01
"RH5","NHS England South West","Somerset Partnership NHS Foundation Trust",0,0,7613,7613,0,0,7540,7540,0,0,73,73,0.990411138841455,NA,NA,0.990411138841455,0,0,0,0,30,30,0,0,"Somerset STP",2019-12-01
"RYF","NHS England South West","South Western Ambulance Service NHS Foundation Trust",0,0,1848,1848,0,0,1811,1811,0,0,37,37,0.979978354978355,NA,NA,0.979978354978355,0,0,0,0,0,0,0,0,"Dorset STP",2019-12-01
"RBA","NHS England South West","Taunton And Somerset NHS Foundation Trust",6635,0,0,6635,4930,0,0,4930,1705,0,0,1705,0.743029389600603,0.743029389600603,NA,NA,2286,0,0,2286,1228,3514,108,0,"Somerset STP",2019-12-01
